epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,8123.07,1.03411,1.96706,1.17793,1.22193,0,0.66889,0.65279,0.6749,0.51876,0.67257,0.63996,0.66596,0.50263,1.2857,2.3732,1.49825,1.43571,0,0.0004654,0.0004654,0.0004654
29,12218.1,1.03205,1.95037,1.18891,1.23298,0,0.61677,0.66357,0.66618,0.51345,0.59229,0.6506,0.64247,0.49537,1.30701,2.40028,1.52423,1.44524,0,0.0004456,0.0004456,0.0004456
30,16315.2,1.01641,1.92163,1.148,1.21432,0,0.68357,0.61842,0.65919,0.50954,0.67525,0.6177,0.6483,0.49623,1.29772,2.35739,1.54509,1.45963,0,0.0004258,0.0004258,0.0004258
31,20392.2,0.99732,1.91894,1.10901,1.1917,0,0.69532,0.6553,0.66927,0.51687,0.69304,0.64877,0.65945,0.5063,1.29446,2.37493,1.48303,1.42716,0,0.000406,0.000406,0.000406
32,24459.4,0.99793,1.88097,1.10484,1.19516,0,0.66068,0.67613,0.67857,0.52957,0.66567,0.66973,0.67096,0.51415,1.27863,2.31629,1.4632,1.40751,0,0.0003862,0.0003862,0.0003862
33,28505,0.9868,1.88707,1.0832,1.18798,0,0.72366,0.63601,0.67616,0.52419,0.74047,0.62914,0.67109,0.50689,1.28656,2.31822,1.45131,1.43206,0,0.0003664,0.0003664,0.0003664
34,32563.9,0.97743,1.8516,1.07771,1.17844,0,0.69602,0.64882,0.68012,0.52632,0.71518,0.63415,0.66529,0.50274,1.29722,2.361,1.43456,1.42384,0,0.0003466,0.0003466,0.0003466
35,36631.2,0.97261,1.83721,1.05151,1.18266,0,0.68373,0.66056,0.67352,0.52338,0.68435,0.65262,0.66263,0.50939,1.28235,2.35721,1.47112,1.41737,0,0.0003268,0.0003268,0.0003268
36,40647.2,0.96434,1.82336,1.04831,1.17532,0,0.66604,0.67167,0.67854,0.52404,0.65197,0.67863,0.66476,0.51064,1.28218,2.39902,1.4466,1.42789,0,0.000307,0.000307,0.000307
37,3790.68,0.92956,1.77095,0.99809,1.14851,0,0.71218,0.63627,0.68108,0.53033,0.71172,0.63517,0.67328,0.51341,1.28105,2.35537,1.4343,1.43269,0,0.0002872,0.0002872,0.0002872
38,7739.53,0.96099,1.80914,1.03594,1.16888,0,0.6994,0.65844,0.68878,0.53526,0.70544,0.65348,0.6778,0.52024,1.25831,2.29256,1.37225,1.39696,0,0.0002674,0.0002674,0.0002674
39,11733.3,0.95608,1.81116,1.02086,1.164,0,0.71609,0.66968,0.70136,0.54163,0.71978,0.64854,0.68741,0.52203,1.27737,2.33698,1.3801,1.42542,0,0.0002476,0.0002476,0.0002476
40,15693.1,0.96359,1.8055,1.01442,1.17346,0,0.6909,0.68465,0.69483,0.53884,0.68328,0.68155,0.68532,0.52311,1.26495,2.33229,1.38406,1.40152,0,0.0002278,0.0002278,0.0002278
41,19531,1.02163,1.86792,1.06911,1.22711,0,0.70399,0.66584,0.69747,0.53786,0.70147,0.65494,0.68487,0.51903,1.26348,2.29748,1.39047,1.41358,0,0.000208,0.000208,0.000208
42,23189.6,0.97861,1.75009,0.97038,1.20143,0,0.71363,0.68322,0.69911,0.54345,0.72227,0.67849,0.69301,0.52971,1.23921,2.27457,1.33344,1.39312,0,0.0001882,0.0001882,0.0001882
43,26833.8,0.97463,1.74823,0.95762,1.19871,0,0.72211,0.67082,0.7043,0.55481,0.71966,0.6692,0.69617,0.53515,1.24509,2.27898,1.34366,1.39758,0,0.0001684,0.0001684,0.0001684
44,30480.7,0.94034,1.7029,0.91696,1.17666,0,0.74106,0.67086,0.7113,0.55837,0.73976,0.66885,0.69598,0.5349,1.23215,2.30392,1.3336,1.38763,0,0.0001486,0.0001486,0.0001486
45,34136.3,0.93556,1.69328,0.91429,1.17262,0,0.71653,0.68971,0.70759,0.55677,0.71689,0.68314,0.6997,0.53497,1.23428,2.29319,1.33573,1.38711,0,0.0001288,0.0001288,0.0001288
46,37790,0.9377,1.68204,0.89391,1.17401,0,0.72081,0.68275,0.70781,0.55574,0.73393,0.67157,0.70067,0.53478,1.23035,2.29128,1.31324,1.38911,0,0.000109,0.000109,0.000109
47,41445.9,0.92171,1.6651,0.88287,1.16185,0,0.71309,0.70088,0.71304,0.56093,0.7091,0.69388,0.70056,0.53698,1.21976,2.28636,1.3168,1.37326,0,8.92e-05,8.92e-05,8.92e-05
48,3979.99,0.9052,1.63145,0.84695,1.14406,0,0.72632,0.69102,0.7082,0.56103,0.75465,0.67272,0.70169,0.53871,1.21438,2.31305,1.31193,1.38169,0,6.94e-05,6.94e-05,6.94e-05
49,8012.72,0.90585,1.63211,0.8426,1.14662,0,0.73867,0.69008,0.71215,0.56357,0.75571,0.67717,0.70672,0.54344,1.21218,2.28864,1.31074,1.37194,0,4.96e-05,4.96e-05,4.96e-05
50,12043.3,0.89629,1.61063,0.83038,1.14095,0,0.75588,0.68569,0.71577,0.56371,0.75404,0.67975,0.71039,0.54185,1.22084,2.30116,1.29796,1.37754,0,2.98e-05,2.98e-05,2.98e-05
